From SkillID,To KnowledgeID,Score
Skill_3054,Know_170,1.73
Skill_3054,Know_100,1.73
Skill_4773,Know_196,1.3
Skill_3733,Know_53,1.24
Skill_3733,Know_298,1.57
Skill_3733,Know_46,1.57
Skill_3733,Know_299,1.57
Skill_3733,Know_55,1.24
Skill_3733,Know_300,1.57
Skill_3733,Know_344,1.24
Skill_3733,Know_297,1.57
Skill_3733,Know_305,1.57
Skill_3658,Know_79,1.3
Skill_5525,Know_181,1.1
Skill_5525,Know_74,2.2
Skill_1930,Know_1,1.33
Skill_1930,Know_75,1.33
Skill_4535,Know_219,1.3
Skill_5082,Know_79,1.3
Skill_1464,Know_88,1.12
Skill_1998,Know_161,4.78
Skill_4253,Know_18,1.17
Skill_4253,Know_16,1.17
Skill_3340,Know_71,1.12
Skill_328,Know_71,6.23
Skill_6244,Know_64,1.3
Skill_5084,Know_304,1.38
Skill_1401,Know_7,1.83
Skill_1401,Know_6,1.83
Skill_1401,Know_28,1.83
Skill_1401,Know_96,1.83
Skill_1401,Know_70,4.25
Skill_1401,Know_2,1.83
Skill_1401,Know_41,1.83
Skill_1012,Know_16,1.4
Skill_1012,Know_18,1.4
Skill_1666,Know_21,1.13
Skill_470,Know_179,1.62
Skill_3843,Know_218,1.29
Skill_3843,Know_201,1.29
Skill_3843,Know_16,1.29
Skill_3843,Know_18,1.29
Skill_5629,Know_252,1.1
Skill_5629,Know_285,1.1
Skill_5629,Know_81,2.27
Skill_5629,Know_52,1.1
Skill_2593,Know_210,1.47
Skill_3526,Know_179,1.3
Skill_3526,Know_197,1.3
Skill_3526,Know_226,1.3
Skill_1336,Know_28,1.76
Skill_6205,Know_60,1.4
Skill_5515,Know_228,2.09
Skill_1319,Know_1,2.08
Skill_1319,Know_75,4.42
Skill_3682,Know_64,4.94
Skill_5201,Know_16,1.3
Skill_4002,Know_304,2.84
Skill_1330,Know_239,1.19
Skill_5439,Know_121,1.62
Skill_5439,Know_154,1.62
Skill_5439,Know_352,1.62
Skill_329,Know_253,3.93
Skill_329,Know_68,1.13
Skill_3501,Know_252,1.27
Skill_3501,Know_80,1.27
Skill_3501,Know_182,1.27
Skill_5936,Know_303,1.88
Skill_5105,Know_73,1.88
